#{"t_start": 1707321222.3920522, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.946,6,60.079537
0.955,5,60.087666
0.955,5,60.096239
0.955,5,60.104234
0.928,8,60.115502
0.955,5,60.122848
0.937,7,60.132819
0.955,5,60.140213
0.937,7,60.150395
0.946,6,60.163161
0.955,5,60.171887
0.946,6,60.183524
0.946,6,60.194188
0.955,5,60.202787
0.955,5,60.211234
0.955,5,60.219557
0.955,5,60.228564
0.946,6,60.238651
0.928,8,60.252249
0.937,7,60.267842
0.946,6,60.27803
0.955,5,60.286167
0.901,11,60.305006
0.946,6,60.315099
0.946,6,60.323846
0.946,6,60.332424
0.946,6,60.34104
0.928,8,60.352085
0.955,5,60.359121
0.946,6,60.370947
0.946,6,60.380614
0.946,6,60.390623
0.955,5,60.397804
0.91,10,60.412128
0.946,6,60.421367
0.955,5,60.428482
0.928,8,60.43973
0.955,5,60.446764
0.946,6,60.455081
0.955,5,60.462281
0.937,7,60.476754
0.937,7,60.489004
0.937,7,60.499906
0.928,8,60.511741
0.937,7,60.522503
0.928,8,60.533739
0.946,6,60.542071
0.937,7,60.552215
0.946,6,60.560714
0.946,6,60.569557
0.955,5,60.580009
0.937,7,60.593477
0.928,8,60.605057
0.955,5,60.612365
0.946,6,60.620984
0.955,5,60.628022
0.937,7,60.637901
0.955,5,60.645025
0.946,6,60.6553
0.955,5,60.663886
0.946,6,60.672356
0.955,5,60.682829
0.928,8,60.696195
0.946,6,60.705166
0.946,6,60.713646
0.937,7,60.723694
0.955,5,60.730837
0.955,5,60.738016
0.937,7,60.748389
0.955,5,60.755886
0.946,6,60.764451
0.955,5,60.771493
0.946,6,60.783064
0.946,6,60.793399
0.946,6,60.802786
0.919,9,60.815993
0.946,6,60.824241
0.955,5,60.831265
0.955,5,60.838702
0.946,6,60.846919
0.937,7,60.856956
0.946,6,60.865438
0.955,5,60.873512
0.946,6,60.885439
0.955,5,60.893135
0.955,5,60.902339
0.928,8,60.914459
0.946,6,60.923198
0.955,5,60.93114
0.955,5,60.939926
0.955,5,60.947655
0.937,7,60.957806
0.955,5,60.964944
0.946,6,60.973299
0.955,5,60.980423
0.955,5,60.991262
0.928,8,61.004723
